episode,reward
1,-3.299999999999997
2,-30.1
3,-73.0
4,-97.0
5,-93.5
6,-97.0
7,-78.5
8,-93.5
9,-92.0
10,-84.0
11,-100.0
12,-93.5
13,-100.0
14,-95.5
15,-21.299999999999997
16,-5.299999999999997
17,-34.5
18,7.899999999999999
19,-3.299999999999997
20,-96.5
21,-65.5
22,-75.0
23,-83.0
24,-95.0
25,-85.5
26,-96.0
27,-100.0
28,-100.0
29,-79.4
30,-60.1
31,-30.200000000000003
32,-50.5
33,-55.0
34,-36.5
35,-25.299999999999997
36,-53.5
37,-61.4
38,-80.5
39,-85.5
40,-54.5
41,-54.0
42,-80.5
43,-71.7
44,-62.0
45,-86.5
46,-38.5
47,-59.0
48,-89.0
49,-70.0
50,-97.0
51,-66.5
52,-88.0
53,-95.5
54,-64.9
55,-98.5
56,-92.5
57,-100.0
58,-83.0
59,-97.0
60,-95.5
61,-98.5
62,-90.5
63,-93.5
64,-97.0
65,-100.0
66,-97.0
67,-75.5
68,-82.5
69,-98.5
70,-60.0
71,-67.0
72,-100.0
73,-90.5
74,-100.0
75,-100.0
76,-85.5
77,-95.0
78,-95.0
79,-56.3
80,-92.7
81,-21.599999999999994
82,-78.5
83,-41.0
84,-84.5
85,-76.5
86,-98.5
87,-100.0
88,-93.5
89,-75.0
90,-76.5
91,-92.0
92,-80.1
93,-48.3
94,-11.2
95,-89.5
96,-51.099999999999994
97,-59.0
98,-69.5
99,-86.0
100,-84.0
