episode,reward
1,-97.0
2,-90.5
3,-88.0
4,22.5
5,-67.5
6,-21.5
7,-6.0
8,-65.0
9,-86.0
10,-87.0
11,-86.5
12,-87.0
13,-98.5
14,-76.0
15,-50.0
16,-51.0
17,-96.5
18,-97.0
19,-93.5
20,183.8
21,-37.3
22,-39.5
23,-44.5
24,-66.0
25,-76.5
26,-92.0
27,-92.0
28,-96.5
29,-97.0
30,-93.5
31,-81.5
32,-65.5
33,-92.0
34,-86.5
35,-78.2
36,-87.0
37,-65.5
38,-66.5
39,-100.0
40,-92.0
41,-100.0
42,-94.0
43,-80.0
44,-76.7
45,-66.5
46,-42.599999999999994
47,-80.0
48,-33.0
49,-58.8
50,-58.5
51,-100.0
52,-89.7
53,-92.0
54,-81.4
55,-47.5
56,-59.5
57,-97.0
58,-69.0
59,-73.0
60,-73.6
61,-68.5
62,-57.0
63,-95.0
64,-84.0
65,-81.5
66,-98.5
67,-97.0
68,-91.0
69,-14.3
70,-26.9
71,-64.9
72,-95.5
73,-97.0
74,-91.5
75,-79.5
76,-61.0
77,-86.5
78,-61.0
79,-83.5
80,-90.5
81,-81.0
82,-88.7
83,-47.8
84,-45.0
85,-80.7
86,-79.9
87,-66.7
88,-42.4
89,-97.0
90,-65.1
91,-35.4
92,-41.9
93,-98.5
94,-100.0
95,-98.5
96,-97.0
97,-98.5
98,-91.0
99,-94.5
100,-98.5
101,-100.0
102,-83.3
103,-84.5
104,-83.0
105,-90.5
106,-94.0
107,-86.0
108,-42.5
109,-81.0
110,-58.5
111,-79.5
112,-86.5
113,-95.5
114,-100.0
115,-90.5
116,-6.099999999999998
117,-29.0
118,-19.0
119,-80.0
